MainID,St_name,Dist,DistName,StartTime,EndTime,Side,from,to,miles,oneway,week1,week2,week3,week4,week5,sunday,monday,tuesday,wednesday,thursday,friday,saturday,everyday,yearround
2259,Sagamore St,3,North Dorchester,8:00,12:00,Even,Savin Hill Ave,Sudan St,0.2775,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2260,Sagamore St,3,North Dorchester,8:00,12:00,Odd,Savin Hill Ave,Sudan St,0.2775,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2261,Salem St,1N,North End,8:00,12:00,Even,Prince St,Charter St,0.1402,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2262,Salem St,1N,North End,8:00,12:00,Odd,Cross St,Prince St,0.1623,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2263,Salem St,1N,North End,8:00,12:00,Even,Cross St,Prince St,0.1623,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2264,Salem Street Ave,1C,Charlestown,8:00,12:00,Odd,Salem St,High St,0.0591,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2265,Salem Street Ave,1C,Charlestown,8:00,12:00,Even,Salem St,High St,0.0591,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2266,San Juan St,1S,South End,8:00,12:00,Even,Shawmut Ave,Shawmut Ave,0.2032,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2267,San Juan St,1S,South End,12:00,16:00,Odd,Shawmut Ave,Shawmut Ave,0.2032,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2268,Sanderson Pl,4,Allston/Brighton,12:00,16:00,Even,Faneuil St,Dead End,0.0716,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2269,Sanderson Pl,4,Allston/Brighton,12:00,16:00,Odd,Faneuil St,Dead End,0.0716,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2270,Sanger St,5,South Boston,9:00,13:00,Even,East Seventh St,East Eighth St,0.0568,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2271,Sanger St,5,South Boston,9:00,13:00,Odd,East Seventh St,East Eighth St,0.0568,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2272,Saratoga St,9,East Boston,12:00,16:00,Even,Neptune Rd,Boardman St,1.0354,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2273,Saratoga St,9,East Boston,12:00,16:00,Even,Bennington St,Shelby St,0.6759,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2274,Saratoga St,9,East Boston,12:00,16:00,Odd,Bennington St,Shelby St,0.6759,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2275,Saratoga St,9,East Boston,12:00,16:00,Odd,Neptune Rd,Boardman St,1.0354,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2276,Savin Hill Ave,3,North Dorchester,8:00,12:00,Even,Pleasant St,Dorchester Ave,0.1273,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2277,Savin Hill Ave,3,North Dorchester,8:00,12:00,Odd,Pleasant St,Dorchester Ave,0.1273,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2278,Savin Hill Ave,3,North Dorchester,12:00,16:00,Even,Savin Hill Ave,Hubbardston Rd,0.0761,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2279,Savin Hill Ave,3,North Dorchester,12:00,16:00,Odd,Savin Hill Ave,Hubbardston Rd,0.0761,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2280,Savin Hill Ct,3,North Dorchester,12:00,16:00,Even,Savin Hill Ave,Dead End,0.0506,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
