FID,OBJECTID,STREET_NAM,ROADINVENT,FUNCTIONAL,JURISDICTI,Divided,InstallDat,ExisFacil,Shape__Length
2801,6344,Dorchester Avenue,5590100,3,2,0,2011,BLSL,162.297839280966
2802,6345,Massachusetts Avenue,5831400,3,2,1,2011,BL,237.827369520733
2803,6346,Columbus Avenue,5845500,3,2,0,2009,BL,108.903753261801
2804,6347,Dartmouth Street,4523800,5,2,0,2011,SLM,73.2959858899897
2805,6348,Columbia Road,5392300,5,2,1,2010,SLM,79.500866855517
2806,6349,Norfolk Street,5217700,5,2,0,2017,BL,78.6733628025227
2807,6350,Talbot Avenue,5847400,5,2,0,2010,SLM,99.3179164499582
2808,6351,New England Avenue,4841000,0,2,0,2018,NW,165.260256123957
2809,6352,Talbot Avenue,5759500,5,2,0,2010,SLM,31.9372964494991
2810,6353,Talbot Avenue,4839200,5,2,0,2010,SLM,64.6685471384668
2811,6354,Norfolk Street,4860100,5,2,0,2017,BL,98.4602901496098
2812,6355,Geneva Avenue,5573200,5,2,0,2016,SLM,23.6134652880836
2813,6356,Columbia Road,6239000,5,2,1,2010,BL,96.8523225296699
2814,6357,Geneva Avenue,4753200,5,2,0,2016,SLM,129.695948351329
2815,6358,Columbia Road,5733000,5,2,1,2010,BFBL,117.716555159116
2816,6360,Dartmouth Street,4525400,5,2,0,2011,SLM,44.4960457573192
2817,6361,Dartmouth Street,5663200,5,2,0,2011,SLM,49.0076873453413
2818,6362,St James Avenue,4501900,3,2,0,2015,SLM,128.689736762147
2819,6363,Stuart Street,4508300,3,2,0,2017,BL,126.172800043868
2820,6364,Dartmouth Street,5269200,5,2,0,2011,BL,60.2343181653668
2821,6365,Dartmouth Street,4486900,5,2,0,2011,BL,58.3510094025285
2822,6366,Commonwealth Avenue,4483200,3,2,1,2010,BL,254.485715852505
2823,6367,Beacon Street,4465500,3,2,0,2018,SLM,207.849755552666
2824,6368,Cambridge Street,45727700,3,2,0,2011,SLM,93.9297124634248
2825,6369,Sullivan Square,5619400,3,2,0,2014,BFBL,132.00467399586
2826,6370,Dorchester Avenue,5398401,3,2,0,2010,SLM,51.2783941481178
2827,6371,Talbot Avenue,4847300,5,2,0,2010,SLM,43.8077434168767
2828,6372,Geneva Avenue,4771200,5,2,0,2016,SLM,89.9577002418476
2829,6373,Geneva Avenue,4762800,5,2,0,2016,SLM,110.242310005872
2830,6374,Columbia Road,6230000,5,2,1,2010,BL,142.025952790096
