Arcadia St,Dead End,0.0241
Hancock St,Dead End,0.1047
Commercial St,North St,0.1136
Milk St,Summer St,0.1801
Linden St,Babcock St,0.4869
Chestnut Ave,Armstrong St,0.065
Commonwealth Ave,Beacon St,0.1432
Maffa Way,Perkins St,0.1233
Massachusetts Ave,Hampden St,0.1527
Upham's Ct,Dorchester Ave,0.4388
Quincy St,Dudley St,0.4769
Douglass Park,Tremont St,0.2905
Douglass Park,Tremont St,0.2905
Tremont St,Washington St,1.1297
Tremont St,Columbus Ave,1.3604
Commonwealth Ave,Commonwealth Ave,0.1744
Commercial St,Lewis Wharf,0.2085
Commercial St,Lewis Wharf,0.2085
State St,Commercial St,0.14
Arlington St,Massachusetts Ave,0.9286
East Broadway,William J. Day Blvd,0.196
Arlington St,Massachusetts Ave,0.9286
Brighton Av,Kelton St,0.8883
Winthrop St,Adams St,0.0947
Winthrop St,Adams St,0.0947
Washington St,Chestnut Hill Ave,0.7133
Washington St,Neponset Ave,1.4419
Market St,Causeway St,0.1706
Cambridge St,Dead End,0.0481
Dorchester St,I St,0.2835
Huntington Ave,Hillside St,0.1072
Huntington Ave,Brookline Ave,0.2955
Commonwealth Ave,Kelton St,0.917
Kenmore St,Chestnut Hill Ave,3.5063
Kenmore St,Chestnut Hill Ave,3.5063
Washington St,Chestnut Hill Ave,0.7133
Pleasant St,Dorchester Ave,0.1186
Tremont St,Columbus Ave,0.1464
Tremont St,Columbus Ave,0.1464
Monument Sq,Bunker Hill St,0.0858
Monument Sq,Bunker Hill St,0.0858
Meridian St,East Eagle St,0.6201
Meridian St,East Eagle St,0.6201
Atlantic Ave,Dorchester Ave,0.1116
Water St,Atlantic Ave,0.3167
Dorchester Ave,East Service Road,0.4123
Sudbury St,State St,0.2688
Sudbury St,Water St,0.3593
Faunce Rd,Dead End,0.06
Faunce Rd,Dead End,0.06
Bunker Hill St,Medford St,0.1286
Bunker Hill St,Medford St,0.1286
Salem St,North Washington St,0.1375
Salem St,North Washington St,0.1375
Warren St,Moreland St,0.2182
Warren St,Moreland St,0.2182
School St,Dead End,0.0864
School St,Dead End,0.0864
Warren St,High St,0.1057
